instance_name,split,town,weather_preset,num_routes,scenario_class,scenario_module
tailgating_vehicle_rear_end__Town13__wx2_WetNight,test,Town13,WetNight,1,TailgatingVehicleRearEndTown13,tailgating_vehicle_rear_end_town13.py
two_overtaking_vehicles_collide_ahead__Town06__wx1_HardRainNoon,test,Town06,HardRainNoon,1,TwoOvertakingVehiclesCollideAheadTown06,two_overtaking_vehicles_collide_ahead_town06.py
two_overtaking_vehicles_collide_ahead__Town06__wx2_ClearNoon,test,Town06,ClearNoon,1,TwoOvertakingVehiclesCollideAheadTown06,two_overtaking_vehicles_collide_ahead_town06.py
two_overtaking_vehicles_collide_ahead__Town12__wx1_WetCloudySunset,test,Town12,WetCloudySunset,1,TwoOvertakingVehiclesCollideAheadTown12,two_overtaking_vehicles_collide_ahead_town12.py
two_overtaking_vehicles_collide_ahead__Town12__wx2_SoftRainNoon,test,Town12,SoftRainNoon,1,TwoOvertakingVehiclesCollideAheadTown12,two_overtaking_vehicles_collide_ahead_town12.py
two_overtaking_vehicles_collide_ahead__Town13__wx1_CloudyNoon,test,Town13,CloudyNoon,1,TwoOvertakingVehiclesCollideAheadTown13,two_overtaking_vehicles_collide_ahead_town13.py
two_overtaking_vehicles_collide_ahead__Town13__wx2_ClearNight,test,Town13,ClearNight,1,TwoOvertakingVehiclesCollideAheadTown13,two_overtaking_vehicles_collide_ahead_town13.py
two_vehicle_spin_and_slide_into_lane__Town06__wx1_CloudyNoon,test,Town06,CloudyNoon,1,TwoVehicleSpinAndSlideIntoLaneTown06,two_vehicle_spin_and_slide_into_lane_town06.py
two_vehicle_spin_and_slide_into_lane__Town06__wx2_ClearNight,test,Town06,ClearNight,1,TwoVehicleSpinAndSlideIntoLaneTown06,two_vehicle_spin_and_slide_into_lane_town06.py
unresponsive_driver_lateral_drift__Town12__wx1_ClearNight,train,Town12,ClearNight,1,UnresponsiveDriverLateralDriftTown12,unresponsive_driver_lateral_drift_town12.py
unresponsive_driver_lateral_drift__Town12__wx2_SoftRainNoon,train,Town12,SoftRainNoon,1,UnresponsiveDriverLateralDriftTown12,unresponsive_driver_lateral_drift_town12.py
unresponsive_driver_lateral_drift__Town15__variant1__wx1_HardRainNoon,train,Town15,HardRainNoon,1,UnresponsiveDriverLateralDriftTown15Variant1,unresponsive_driver_lateral_drift_town15_variant1.py
unresponsive_driver_lateral_drift__Town15__variant1__wx2_MidRainSunset,train,Town15,MidRainSunset,1,UnresponsiveDriverLateralDriftTown15Variant1,unresponsive_driver_lateral_drift_town15_variant1.py
unresponsive_driver_lateral_drift__Town15__variant2__wx1_ClearSunset,train,Town15,ClearSunset,1,UnresponsiveDriverLateralDriftTown15Variant2,unresponsive_driver_lateral_drift_town15_variant2.py
unresponsive_driver_lateral_drift__Town15__variant2__wx2_WetCloudySunset,train,Town15,WetCloudySunset,1,UnresponsiveDriverLateralDriftTown15Variant2,unresponsive_driver_lateral_drift_town15_variant2.py
urban_overtake_cut_in_and_right_turn__Town13__wx1_WetNoon,train,Town13,WetNoon,1,UrbanOvertakeCutInAndRightTurnTown13,urban_overtake_cut_in_and_right_turn_town13.py
urban_overtake_cut_in_and_right_turn__Town13__wx2_WetNight,train,Town13,WetNight,1,UrbanOvertakeCutInAndRightTurnTown13,urban_overtake_cut_in_and_right_turn_town13.py
vehicle_crosses_median_into_lane__Town04__wx1_WetNoon,train,Town04,WetNoon,1,VehicleCrossesMedianIntoLaneTown04,vehicle_crosses_median_into_lane_town04.py
vehicle_crosses_median_into_lane__Town04__wx2_MidRainSunset,train,Town04,MidRainSunset,1,VehicleCrossesMedianIntoLaneTown04,vehicle_crosses_median_into_lane_town04.py
vehicle_crosses_median_into_lane__Town13__wx1_CloudyNoon,train,Town13,CloudyNoon,1,VehicleCrossesMedianIntoLaneTown13,vehicle_crosses_median_into_lane_town13.py
vehicle_crosses_median_into_lane__Town13__wx2_WetCloudySunset,train,Town13,WetCloudySunset,1,VehicleCrossesMedianIntoLaneTown13,vehicle_crosses_median_into_lane_town13.py
